  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.000  -1.0753   0.09987   0.09606   0.0018   1.0000   0.0067
 -16.750  -1.0877   0.09367   0.08975  -0.0015   1.0000   0.0068
 -16.500  -1.1024   0.08723   0.08320  -0.0048   1.0000   0.0069
 -16.250  -1.1148   0.08135   0.07721  -0.0078   1.0000   0.0069
 -16.000  -1.1274   0.07559   0.07134  -0.0107   1.0000   0.0070
 -15.750  -1.1421   0.06979   0.06542  -0.0136   1.0000   0.0070
 -15.500  -1.1555   0.06433   0.05984  -0.0163   1.0000   0.0071
 -15.250  -1.1665   0.05933   0.05471  -0.0186   1.0000   0.0072
 -15.000  -1.1744   0.05486   0.05014  -0.0207   1.0000   0.0072
 -14.750  -1.1836   0.05031   0.04546  -0.0227   1.0000   0.0073
 -14.500  -1.1949   0.04557   0.04061  -0.0249   1.0000   0.0074
 -14.250  -1.2012   0.04165   0.03657  -0.0265   1.0000   0.0076
 -14.000  -1.2068   0.03799   0.03279  -0.0279   1.0000   0.0077
 -13.750  -1.2086   0.03500   0.02970  -0.0288   1.0000   0.0079
 -13.500  -1.2084   0.03246   0.02707  -0.0292   1.0000   0.0082
 -13.250  -1.2087   0.03015   0.02464  -0.0290   1.0000   0.0084
 -13.000  -1.2052   0.02844   0.02284  -0.0283   1.0000   0.0088
 -12.750  -1.2025   0.02691   0.02121  -0.0269   1.0000   0.0091
 -12.500  -1.1972   0.02575   0.01996  -0.0252   1.0000   0.0095
 -12.250  -1.1911   0.02474   0.01886  -0.0229   1.0000   0.0099
 -12.000  -1.1847   0.02381   0.01785  -0.0204   1.0000   0.0103
 -11.750  -1.1758   0.02277   0.01675  -0.0184   1.0000   0.0109
 -11.500  -1.1620   0.02193   0.01585  -0.0168   1.0000   0.0115
 -11.250  -1.1461   0.02118   0.01503  -0.0155   1.0000   0.0123
 -11.000  -1.1290   0.02047   0.01423  -0.0142   1.0000   0.0130
 -10.750  -1.1107   0.01982   0.01350  -0.0131   1.0000   0.0136
 -10.500  -1.0934   0.01902   0.01266  -0.0118   1.0000   0.0146
 -10.250  -1.0741   0.01838   0.01197  -0.0108   1.0000   0.0157
 -10.000  -1.0537   0.01780   0.01134  -0.0098   1.0000   0.0169
  -9.750  -1.0329   0.01724   0.01072  -0.0088   1.0000   0.0182
  -9.500  -1.0125   0.01663   0.01009  -0.0079   1.0000   0.0202
  -9.250  -0.9909   0.01611   0.00952  -0.0070   1.0000   0.0221
  -9.000  -0.9693   0.01558   0.00897  -0.0061   1.0000   0.0247
  -8.750  -0.9475   0.01506   0.00844  -0.0052   1.0000   0.0284
  -8.500  -0.9258   0.01453   0.00793  -0.0043   1.0000   0.0337
  -8.250  -0.9036   0.01405   0.00745  -0.0034   1.0000   0.0401
  -8.000  -0.8812   0.01359   0.00700  -0.0025   1.0000   0.0472
  -7.750  -0.8589   0.01312   0.00656  -0.0017   1.0000   0.0556
  -7.500  -0.8366   0.01267   0.00614  -0.0007   1.0000   0.0660
  -7.250  -0.8142   0.01222   0.00575   0.0002   1.0000   0.0779
  -7.000  -0.7916   0.01181   0.00538   0.0011   1.0000   0.0910
  -6.750  -0.7689   0.01141   0.00503   0.0020   1.0000   0.1055
  -6.500  -0.7460   0.01104   0.00472   0.0028   1.0000   0.1211
  -6.250  -0.7233   0.01065   0.00442   0.0037   1.0000   0.1393
  -6.000  -0.6910   0.01025   0.00413   0.0025   0.9946   0.1644
  -5.750  -0.6568   0.00988   0.00386   0.0010   0.9846   0.1892
  -5.500  -0.6222   0.00961   0.00363  -0.0005   0.9681   0.2062
