  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.6718   0.08829   0.08532   0.0204   1.0000   0.0158
  -8.750  -0.6814   0.08151   0.07860   0.0154   1.0000   0.0155
  -8.500  -0.7068   0.06989   0.06700   0.0058   1.0000   0.0145
  -8.250  -0.7153   0.06110   0.05804   0.0015   1.0000   0.0141
  -8.000  -0.7192   0.05442   0.05111  -0.0003   1.0000   0.0140
  -7.750  -0.7189   0.04866   0.04502  -0.0010   1.0000   0.0140
  -7.500  -0.7167   0.04319   0.03918  -0.0012   1.0000   0.0144
  -7.250  -0.7042   0.04015   0.03591  -0.0013   1.0000   0.0152
  -7.000  -0.6867   0.03804   0.03362  -0.0014   1.0000   0.0162
  -6.750  -0.6700   0.03381   0.02889  -0.0012   0.9551   0.0165
  -6.500  -0.6540   0.02986   0.02431   0.0002   0.9151   0.0163
  -6.250  -0.6375   0.02706   0.02098   0.0020   0.8913   0.0164
  -6.000  -0.6184   0.02484   0.01832   0.0037   0.8734   0.0166
  -5.750  -0.5972   0.02296   0.01606   0.0050   0.8583   0.0169
  -5.500  -0.5746   0.02137   0.01414   0.0062   0.8450   0.0174
  -5.250  -0.5514   0.02001   0.01244   0.0073   0.8329   0.0179
  -5.000  -0.5273   0.01881   0.01102   0.0081   0.8217   0.0184
  -4.750  -0.5026   0.01795   0.00998   0.0089   0.8112   0.0197
  -4.500  -0.4777   0.01719   0.00906   0.0096   0.8016   0.0209
  -4.250  -0.4534   0.01632   0.00804   0.0104   0.7927   0.0212
  -4.000  -0.4286   0.01554   0.00712   0.0111   0.7836   0.0215
  -3.750  -0.4039   0.01482   0.00627   0.0118   0.7756   0.0220
  -3.500  -0.3787   0.01418   0.00549   0.0124   0.7675   0.0232
  -3.250  -0.3528   0.01370   0.00486   0.0129   0.7599   0.0254
  -3.000  -0.3267   0.01331   0.00437   0.0134   0.7525   0.0297
  -2.750  -0.3008   0.01281   0.00393   0.0138   0.7453   0.0516
  -2.500  -0.2758   0.01224   0.00358   0.0143   0.7385   0.1118
  -2.250  -0.2512   0.01161   0.00332   0.0146   0.7316   0.2023
  -2.000  -0.2280   0.01088   0.00308   0.0152   0.7251   0.3313
  -1.750  -0.2087   0.00989   0.00292   0.0166   0.7187   0.5293
  -1.500  -0.1893   0.00911   0.00282   0.0188   0.7125   0.7004
  -1.250  -0.1474   0.00872   0.00288   0.0168   0.7068   0.8620
  -1.000  -0.0871   0.00880   0.00289   0.0105   0.7003   0.9305
  -0.750  -0.0450   0.00892   0.00287   0.0078   0.6948   0.9589
  -0.500  -0.0060   0.00899   0.00285   0.0056   0.6880   0.9784
  -0.250   0.0365   0.00903   0.00277   0.0025   0.6823   0.9919
   0.000   0.0774   0.00902   0.00268  -0.0004   0.6757   1.0000
   0.250   0.1028   0.00902   0.00260   0.0001   0.6697   1.0000
   0.500   0.1285   0.00904   0.00257   0.0004   0.6635   1.0000
   0.750   0.1542   0.00906   0.00254   0.0008   0.6571   1.0000
   1.000   0.1800   0.00910   0.00253   0.0012   0.6510   1.0000
   1.250   0.2060   0.00913   0.00255   0.0016   0.6439   1.0000
   1.500   0.2319   0.00917   0.00256   0.0020   0.6365   1.0000
   1.750   0.2578   0.00921   0.00257   0.0024   0.6279   1.0000
   2.000   0.2839   0.00924   0.00262   0.0027   0.6183   1.0000
   2.250   0.3099   0.00929   0.00267   0.0032   0.6082   1.0000
   2.500   0.3358   0.00934   0.00270   0.0036   0.5977   1.0000
