wX,wY,wZ,aX,aY,aZ
1.1596680,0.3051758,-0.4272461,-0.0240479,-0.0042725,0.9702148
1.0986328,0.2441406,-0.5493164,-0.0241699,-0.0029297,0.9699707
0.9765625,0.2441406,-0.5493164,-0.0245361,-0.0009766,0.9687500
1.1596680,0.1831055,-0.6713867,-0.0250244,-0.0015869,0.9711914
1.2207031,0.2441406,-0.6713867,-0.0256348,-0.0034180,0.9696045
1.1596680,0.1831055,-0.6713867,-0.0253906,-0.0048828,0.9678955
1.0986328,0.3051758,-0.6713867,-0.0245361,-0.0087891,0.9692383
1.1596680,0.1831055,-0.6713867,-0.0241699,-0.0108643,0.9675293
1.2207031,0.1220703,-0.3662109,-0.0284424,-0.0111084,0.9708252
1.1596680,0.0610352,-0.4272461,-0.0294189,-0.0107422,0.9709473
1.1596680,0.0610352,-0.3051758,-0.0281982,-0.0070801,0.9687500
1.1596680,0.2441406,-0.3051758,-0.0263672,-0.0039063,0.9713135
1.4038086,0.3662109,-0.3051758,-0.0236816,-0.0008545,0.9678955
1.0986328,0.3662109,-0.2441406,-0.0230713,-0.0006104,0.9689941
1.2817383,0.0610352,-0.5493164,-0.0239258,-0.0001221,0.9705811
1.2817383,0.1831055,-0.6713867,-0.0240479,-0.0003662,0.9710693
1.0986328,0.2441406,-0.6103516,-0.0263672,-0.0030518,0.9711914
1.0375977,0.1220703,-0.6713867,-0.0262451,-0.0062256,0.9698486
1.1596680,0.1831055,-0.6103516,-0.0269775,-0.0111084,0.9682617
1.0986328,0.1220703,-0.6103516,-0.0260010,-0.0129395,0.9730225
1.0986328,0.1831055,-0.4272461,-0.0267334,-0.0104980,0.9685059
0.9765625,0.1831055,-0.3051758,-0.0260010,-0.0085449,0.9693604
1.2207031,0.3662109,-0.2441406,-0.0263672,-0.0045166,0.9716797
1.2207031,0.3662109,-0.2441406,-0.0257568,-0.0009766,0.9688721
1.1596680,0.2441406,-0.3662109,-0.0245361,-0.0006104,0.9696045
1.0986328,0.1831055,-0.4882812,-0.0244141,-0.0004883,0.9699707
1.0375977,0.3051758,-0.6713867,-0.0235596,-0.0004883,0.9696045
1.2817383,0.2441406,-0.6713867,-0.0245361,-0.0013428,0.9698486
1.0986328,0.3051758,-0.6713867,-0.0268555,-0.0079346,0.9699707
1.2817383,0.3051758,-0.6713867,-0.0275879,-0.0089111,0.9692383
1.0375977,0.2441406,-0.6713867,-0.0258789,-0.0109863,0.9699707
1.1596680,0.2441406,-0.4272461,-0.0264893,-0.0106201,0.9672852
1.2207031,0.1220703,-0.3662109,-0.0261230,-0.0079346,0.9702148
1.1596680,0.3051758,-0.3051758,-0.0267334,-0.0069580,0.9694824
